ESTABLECIMIENTOS ANEXOS / ESCUELAS NOCTURNAS / CENMA
Total: 143

ZONA 1
- ID 42 | CUE 140236400 | CENMA N° 135 | CENMA | SANTA ROSA 1299 | CENTRO
- ID 40 | CUE 140544801 | CENMA PERIFERICOS DE ARGUELLO ANEXO B° IPV | Anexo / CENMA | FERMIN MARTIN 7400 | IPV ARGÜELLO NORTE
- ID 39 | CUE 140131800 | ESCUELA NOCTURNA DOMINGO FAUSTINO SARMIENTO | Escuela nocturna | Raimundo Caparros 7309 | ARGUELLO
- ID 41 | CUE 140135700 | ESCUELA NOCTURNA EULOGIA SALVATIERRA DE PALACIO | Escuela nocturna | Humberto Primo 2285 | ALBERDI
- ID 38 | CUE 140074600 | ESCUELA NOCTURNA JOSE MANUEL ESTRADA | Escuela nocturna | Fermin Martín 7400 - Martín Fermín s/n | IPV ARGÜELLO NORTE
ZONA 2
- ID 83 | CUE 140294900 | CENMA N° 23 | CENMA | JULIAN PAZ 1851 | VILLA CABRERA
- ID 84 | CUE 140294905 | CENMA N° 23 ANEXO MARQUES DE SOBREMONTE | Anexo / CENMA | FRANCISCO SUAREZ 3760 | MARQUEZ ANEXO
- ID 87 | CUE 140194200 | CENMA Nº 232 | CENMA | LA RIOJA 1450 | ALBERDI
- ID 81 | CUE 140194205 | CENMA Nº 232 ANEXO Bº LOS BOULEVARES | Anexo / CENMA | AV. LOS ALEMANES 4200 | LOS BOULEVARES
- ID 88 | CUE 140194206 | CENMA Nº 232 EXT. AULICA Bº LA FRANCE | Extension aulica / CENMA | AV CARDEÑOSA 2805 | LA FRANCE
- ID 85 | CUE 140544802 | CENMA PERIFERICOS DE ARGUELLO ANEXO B° VILLA CORNU | Anexo / CENMA | AV. CENTRAL DEL LOTEO Y ESQ. PUBLICA | 2022-11-16 00:00:00
- ID 77 | CUE 140528400 | ESC. S/NOMBRE DE B° LOS BOULEVARES ANEXO (Dra. Liliana Beatriz Sarmiento Herrera) | Anexo | CALLE PUBLICA S/N Altura: | LOS BOULEVARES ANEXO
- ID 86 | CUE 140572100 | ESCUELA NOCTURNA MALVINAS ARGENTINAS | Escuela nocturna | Av Central del Loteo esq Publica | 2022-11-16 00:00:00
- ID 82 | CUE 140293800 | ESCUELA NOCTURNA MERCEDITAS DE SAN MARTIN | Escuela nocturna | AV. DE LOS ALEMANES 4200 | LOS BOULEVARES
- ID 76 | CUE 140528300 | J. DE INF. S/NOMBRE DE B° LOS BOULEVARES ANEXO (MANUEL CALVINO) | Anexo | PUBLICA Altura: | LOS BOULEVARES ANEXO
ZONA 3
- ID 130 | CUE 140235604 | CENMA ASIMRA ANEXO DR. JORGE WASHINGTON ABALOS | Anexo / CENMA | AV. JUAN B. JUSTO 9263 | GUIÑAZU
- ID 137 | CUE 140278300 | CENMA B° SMATA SEDE SMATA | CENMA | DEAN FUNES 417 (27 DE ABRIL 663) | CENTRO
- ID 133 | CUE 140278200 | CENMA CASA DE GOBIERNO | CENMA | GRAL. GUIDO Nº 114 | SAN MARTIN
- ID 125 | CUE 140333600 | CENMA N° 207 AGUSTIN TOSCO | CENMA | DEAN FUNES  Altura: 417 | CENTRO
- ID 126 | CUE 140333600 | CENMA N° 207 AGUSTIN TOSCO | CENMA | DEAN FUNES 417 | CENTRO
- ID 134 | CUE 140333604 | CENMA N° 207 AGUSTIN TOSCO SEDE B° GUIÑAZU | CENMA | Cortada del Rosario 657 | GUIÑAZU
- ID 131 | CUE 140270902 | CENMA N° 215 ANEXO ESTEBAN ECHEVERRIA | Anexo / CENMA | COLOMBRES Y ZAPIOLA | SAN MARTIN
- ID 138 | CUE 140061800 | CENMA N° 70 COMPAÑERO HUGO ESTANISLAO OCHOA | CENMA | SANTA ROSA 650 | CENTRO
- ID 135 | CUE 140061800 | CENMA N° 70 SEDE UOM | CENMA | SANTA ROSA 650 | ALBERDI
- ID 132 | CUE 140270905 | CENMA Nº 215 EXTENSIÓN ÁULICA JUAN JOSÉ PASO | Extension aulica / CENMA | PLATON N°3030 | ZUMARAN
- ID 136 | CUE 140278300 | CENMA SALUD | CENMA | DEAN FUNES 417 | CENTRO
- ID 127 | CUE 140138100 | ESCUELA NOCTURNA GENERAL SAN MARTIN | Escuela nocturna | Gral Guido 114 | SAN MARTIN
- ID 128 | CUE 140232400 | ESCUELA NOCTURNA GREGORIA MATORRAS DE SAN MARTIN | Escuela nocturna | RUTA 9 KM. 10 1/2 | GUIÑAZU
- ID 129 | CUE 140232600 | ESCUELA NOCTURNA HEROES DE MALVINAS | Escuela nocturna | MA. DEL CARMEN FERRER 76 (CALLE 6) | REMEDIOS DE ESCALADA
- ID 101 | CUE 140229101 | ESCUELA U.N.E.S.C.O. ANEXO VILLA ALICIA RISLER | Anexo | DE LA CUECA Altura: | EL CHAPARRAL
- ID 91 | CUE 140006801 | J.DE INF. U.N.E.S.C.O. ANEXO VILLA ALICIA RISLER | Anexo | DE LA RANCHERA Altura: 271 | VILLA ALICIA RISLER
ZONA 4
- ID 180 | CUE 140235600 | CENMA ASIMRA | CENMA | MANUEL LUCERO 560 | ALTA CORDOBA
- ID 186 | CUE 140236404 | CENMA N° 135 SEDE SACRA B° PARQUE LICEO 2° SECC | CENMA | JOAQUIN CASTELLANOS 4672 | PARQUE LICEO II SECCION
- ID 183 | CUE 140245900 | CENMA N° 168 | CENMA | ROQUE SAENZ PEÑA 1211 | COFICO
- ID 184 | CUE 140245900 | CENMA N° 168 SEDE EDUCACION A DISTANCIA | CENMA | ROQUE SAENZ PEÑA 1211 | COFICO
- ID 178 | CUE 140270900 | CENMA N° 215 | CENMA | TRAFALGAR 875 | ALTA CORDOBA
- ID 182 | CUE 140524302 | CENMA N°14 DR. CÉSAR CUESTA CARNERO SEDE B° CENTRO AMÉRICA | CENMA | Ferdinand de Lesseps 140 | Centro América
- ID 179 | CUE 140270904 | CENMA Nº 215 EXT. AULICA Bº MARCELO T. DE ALVEAR | Extension aulica / CENMA | P. NERUDA ESQ. ACAMPES | MARCELO T DE ALVEAR
- ID 185 | CUE 140270900 | CENMA Nº 215 SEDE EDUCACIÓN A DISTANCIA | CENMA | P. NERUDA ESQ. ACAMPES | Marcelo T. de Alvear
- ID 176 | CUE 140010900 | ESCUELA NOCTURNA ATAHUALPA YUPANQUI | Escuela nocturna | TRAFALGAR 875 | MARIANO FRAGUEIRO
- ID 177 | CUE 140049300 | ESCUELA NOCTURNA COMANDANTE EDUARDO OLIVERO | Escuela nocturna | Pablo Neruda 50 esq Acampes | Marcelo T. de Alvear
- ID 181 | CUE 140232401 | ESCUELA NOCTURNA GREGORIA MATORRAS DE SAN MARTIN ANEXO B° CENTRO AMERICA | Anexo / Escuela nocturna | Ferdinand de Lesseps 140 | CENTRO AMERICA
ZONA 5
- ID 232 | CUE 140235605 | CENMA ASIMRA ANEXO REGINO MADERS | Anexo / CENMA | MAURICIO YADAROLA N° 653 | GENERAL BUSTOS
- ID 230 | CUE 140542806 | CENMA B° PARQUE LICEO 2° SECCIÓN SEDE EDUCACIÓN A DISTANCIA | CENMA | BARTOLOME HIDALGO 1200 | PARQUE LICEO II SECCION
- ID 227 | CUE 140270907 | CENMA N° 215 SEDE B° AMPLIACION RESIDENCIAL AMERICA | CENMA | JOSE FRANCO 541 | AMPL RES AMERICA
- ID 226 | CUE 140270903 | CENMA Nº 215 ANEXO B° AMPLIACIÓN RES. AMERICA | Anexo / CENMA | JAMAICA 915 | AMPLIACION RESIDENCIAL AMERICA
- ID 229 | CUE 140542800 | CENMA PARQUE LICEO 2 SECCION | CENMA | ATALIVA HERRERA E. HIDALGO | PARQUE LICEO II SECCION
- ID 233 | CUE 140260100 | ESCUELA NOCTURNA FRAY LUIS BELTRAN | Escuela nocturna | Gelly y Obes 3110 | VILLA AZALAIS
- ID 231 | CUE 140243500 | ESCUELA NOCTURNA PAULA ALBARRACIN | Escuela nocturna | GENERAL PAZ 488 | CENTRO
- ID 228 | CUE 140307200 | ESCUELA NOCTURNA PROF. GREGORIO OLIVA | Escuela nocturna | JAMAICA 915 | AMPLIACION RESIDENCIAL AMERICA
- ID 224 | CUE 140074000 | ESCUELA NOCTURNA REPUBLICA DE CHILE | Escuela nocturna | Esquiú 1340 | PUEYRREDON
- ID 225 | CUE 140077000 | ESCUELA NOCTURNA REPUBLICA DEL LIBANO | Escuela nocturna | Uzandivaras 2254 | PATRICIOS
ZONA 6
- ID 276 | CUE 140235602 | CENMA ASIMRA ANEXO B° PATRICIOS | Anexo / CENMA | Av. Alem 2788 | PATRICIOS
- ID 277 | CUE 140553301 | CENMA B° ACOSTA SEDE EVITA | CENMA | SUIPACHA 2309 | PUEYRREDON
- ID 274 | CUE 140510700 | CENMA MANUEL DORREGO | CENMA | CAPISTRANO TISSERA S/N | ALEM ESTE
- ID 278 | CUE 140074100 | CENMA N° 19 | CENMA | ANA MARIA JANER 1551 | PUEYRREDON
- ID 275 | CUE 140061801 | CENMA N° 70 ANEXO MONSEÑOR ANGELELLI | Anexo / CENMA | AV. FEDERICO RAUCH 2790 | ARTURO CAPDEVILA
- ID 273 | CUE 140542803 | CENMA PARQUE LICEO 2 SECCION ANEXO CIUDAD DE LOS CUARTETOS | Anexo / CENMA | CALLE PUBLICA S/N | CIUDAD DE LOS CUARTETOS
- ID 279 | CUE 140011705 | ESCUELA NOCTURNA JOSÉ HERNÁNDEZ EXT. AULICA EVITA | Extension aulica / Escuela nocturna | Suipacha y Polonia | PUEYRREDON
- ID 271 | CUE 140007500 | ESCUELA NOCTURNA PADRE JOSE LEON TORRES | Escuela nocturna | Pedro de Ledesma 1755 | PARQUE MONTECRISTO
- ID 272 | CUE 140077001 | ESCUELA NOCTURNA REPUBLICA DEL LIBANO EXT AUL B° GENERAL BELGRANO | Extension aulica / Escuela nocturna | FERNANDO ABRAMO 2545 | GENERAL BELGRANO
ZONA 7
- ID 322 | CUE 140278205 | CENMA CORONEL OLMEDO ANEXO B° YAPEYÚ | Anexo / CENMA | AV. 24 SEPTIEMPBRE 2400 | YAPEYU
- ID 321 | CUE 140524300 | CENMA N° 14 DR. CESAR CUESTAS CARNERO | CENMA | CRESPIN S/Nº | GENERAL ARENALES
- ID 323 | CUE 140074101 | CENMA N° 19 ANEXO B° YOFRE H | Anexo / CENMA | MARTIN ALLENDE 2005 | YOFRE H
- ID 324 | CUE 140074101 | CENMA N° 19 SEDE EDUCACION A DISTANCIA | CENMA | MARTIN ALLENDE 2005 | YOFRE H
- ID 318 | CUE 140074102 | CENMA N° 19 SEDE MERCADO DE ABASTO | CENMA | AV. DE LA SEMILLERIA S/N | PALMAR
- ID 317 | CUE 140073500 | ESCUELA NOCTURNA 25 DE MAYO | Escuela nocturna | 2400-09-24 00:00:00 | YAPEYU
- ID 325 | CUE 140011700 | ESCUELA NOCTURNA JOSE HERNANDEZ | Escuela nocturna | MARTIN ALLENDE 2005 | YOFRE H
- ID 316 | CUE 140011701 | ESCUELA NOCTURNA JOSE HERNANDEZ EXT AUL B° ARENALES | Extension aulica / Escuela nocturna | CRESPIN S/N | ARENALES
- ID 319 | CUE 140221501 | ESCUELA NOCTURNA REPÚBLICA DEL PARAGUAY EXTENSIÓN ÁULICA CAMPO DE LA RIBERA | Extension aulica / Escuela nocturna | Martín Cartechini S/N | Campo de la Rivera
- ID 312 | CUE 140451201 | I.P.E.M Nº 3 GRAL. JUAN BAUTISTA BUSTOS-ANEXO B° ZEPA | Anexo | PUBLICA Altura: | ZEPA
ZONA 8
- ID 371 | CUE 140553300 | CENMA B° ACOSTA | CENMA | ENTRE RIOS 5000 | ACOSTA
- ID 373 | CUE 140528900 | CENMA B° MALDONADO | CENMA | PEDERNERA 952 | MALDONADO
- ID 370 | CUE 140528904 | CENMA B° MALDONADO ANEXO CENTRO VECINAL | Anexo / CENMA | Blas Parera esq Cartechini | Maldonado
- ID 369 | CUE 140528902 | CENMA B° MALDONADO SEDE B° MÜLLER | CENMA | OBISPO CASTELLANOS 256 | MULLER
- ID 366 | CUE 140278203 | CENMA CASA DE GOBIERNO SEDE SURRBAC | CENMA | Facundo Suviria 1029 | Juniors
- ID 372 | CUE 140288200 | CENMA N° 111 | CENMA | ALVAREZ DE ARENALES 990 | JUNIOR
- ID 368 | CUE 140333400 | CENMA PROFESORA MARÍA SALEME DE BURNICHÓN | CENMA | ITUIZAINGO 483 | NUEVA CORDOBA
- ID 364 | CUE 140075800 | ESCUELA NOCTURNA BERNARDO O HIGGINS | Escuela nocturna | Mario Bravo esq. Entre Ríos | ACOSTA
