fila_excel,columna_c,inspector,zona,numero,establecimiento,cue,domicilio,barrio
39,,,1.0,38.0,ESCUELA NOCTURNA JOSE MANUEL ESTRADA,140074600.0,Fermin Martín 7400 - Martín Fermín s/n,IPV ARGÜELLO NORTE
40,,,1.0,39.0,ESCUELA NOCTURNA DOMINGO FAUSTINO SARMIENTO,140131800.0,Raimundo Caparros 7309,ARGUELLO
41,,,1.0,40.0,CENMA PERIFERICOS DE ARGUELLO ANEXO B° IPV,140544801.0,FERMIN MARTIN 7400,IPV ARGÜELLO NORTE
42,,,1.0,41.0,ESCUELA NOCTURNA EULOGIA SALVATIERRA DE PALACIO,140135700.0,Humberto Primo 2285,ALBERDI
43,,,1.0,42.0,CENMA N° 135,140236400.0,SANTA ROSA 1299,CENTRO
44,,,1.0,43.0,Intituto Tecnico Superior Cordoba,140544100.0,Rio Negro 77,Quintas de Santa Ana
81,,,2.0,37.0,J. DE INF. GOB BRIGADIER JUAN IGNACIO SAN MARTIN (Cerraron las salas - No existe),140135900.0,ENFERMERA CLERMONT Altura: 1225,VILLA PAEZ
82,,,2.0,38.0,CENMA Nº 232 ANEXO Bº LOS BOULEVARES,140194205.0,AV. LOS ALEMANES 4200,LOS BOULEVARES
83,,,2.0,39.0,ESCUELA NOCTURNA MERCEDITAS DE SAN MARTIN,140293800.0,AV. DE LOS ALEMANES 4200,LOS BOULEVARES
84,,,2.0,40.0,CENMA N° 23,140294900.0,JULIAN PAZ 1851,VILLA CABRERA
85,,,2.0,41.0,CENMA N° 23 ANEXO MARQUES DE SOBREMONTE,140294905.0,FRANCISCO SUAREZ 3760,MARQUEZ ANEXO
86,,,2.0,42.0,CENMA PERIFERICOS DE ARGUELLO ANEXO B° VILLA CORNU,140544802.0,AV. CENTRAL DEL LOTEO Y ESQ. PUBLICA,2022-11-16 00:00:00
87,,,2.0,43.0,ESCUELA NOCTURNA MALVINAS ARGENTINAS,140572100.0,Av Central del Loteo esq Publica,2022-11-16 00:00:00
88,,,2.0,44.0,CENMA Nº 232,140194200.0,LA RIOJA 1450,ALBERDI
89,,,2.0,45.0,CENMA Nº 232 EXT. AULICA Bº LA FRANCE,140194206.0,AV CARDEÑOSA 2805,LA FRANCE
127,,,3.0,38.0,CENMA N° 207 AGUSTIN TOSCO,140333600.0,DEAN FUNES 417,CENTRO
128,,,3.0,39.0,ESCUELA NOCTURNA GENERAL SAN MARTIN,140138100.0,Gral Guido 114,SAN MARTIN
129,,,3.0,40.0,ESCUELA NOCTURNA GREGORIA MATORRAS DE SAN MARTIN,140232400.0,RUTA 9 KM. 10 1/2,GUIÑAZU
130,,,3.0,41.0,ESCUELA NOCTURNA HEROES DE MALVINAS,140232600.0,MA. DEL CARMEN FERRER 76 (CALLE 6),REMEDIOS DE ESCALADA
131,,,3.0,42.0,CENMA ASIMRA ANEXO DR. JORGE WASHINGTON ABALOS,140235604.0,AV. JUAN B. JUSTO 9263,GUIÑAZU
132,,,3.0,43.0,CENMA N° 215 ANEXO ESTEBAN ECHEVERRIA,140270902.0,COLOMBRES Y ZAPIOLA,SAN MARTIN
133,,,3.0,44.0,CENMA Nº 215 EXTENSIÓN ÁULICA JUAN JOSÉ PASO,140270905.0,PLATON N°3030,ZUMARAN
134,,,3.0,45.0,CENMA CASA DE GOBIERNO,140278200.0,GRAL. GUIDO Nº 114,SAN MARTIN
135,,,3.0,46.0,CENMA N° 207 AGUSTIN TOSCO SEDE B° GUIÑAZU,140333604.0,Cortada del Rosario 657,GUIÑAZU
136,,,3.0,47.0,CENMA N° 70 SEDE UOM,140061800.0,SANTA ROSA 650,ALBERDI
137,,,3.0,48.0,CENMA SALUD,140278300.0,DEAN FUNES 417,CENTRO
138,,,3.0,49.0,CENMA B° SMATA SEDE SMATA,140278300.0,DEAN FUNES 417 (27 DE ABRIL 663),CENTRO
139,,,3.0,50.0,CENMA N° 70 COMPAÑERO HUGO ESTANISLAO OCHOA,140061800.0,SANTA ROSA 650,CENTRO
177,,,4.0,38.0,ESCUELA NOCTURNA ATAHUALPA YUPANQUI,140010900.0,TRAFALGAR 875,MARIANO FRAGUEIRO
178,,,4.0,39.0,ESCUELA NOCTURNA COMANDANTE EDUARDO OLIVERO,140049300.0,Pablo Neruda 50 esq Acampes,Marcelo T. de Alvear
179,,,4.0,40.0,CENMA N° 215,140270900.0,TRAFALGAR 875,ALTA CORDOBA
180,,,4.0,41.0,CENMA Nº 215 EXT. AULICA Bº MARCELO T. DE ALVEAR,140270904.0,P. NERUDA ESQ. ACAMPES,MARCELO T DE ALVEAR
181,,,4.0,42.0,CENMA ASIMRA,140235600.0,MANUEL LUCERO 560,ALTA CORDOBA
182,,,4.0,43.0,ESCUELA NOCTURNA GREGORIA MATORRAS DE SAN MARTIN ANEXO B° CENTRO AMERICA,140232401.0,Ferdinand de Lesseps 140,CENTRO AMERICA
183,,,4.0,44.0,"CENMA N°14 ""DR. CÉSAR CUESTA CARNERO"" SEDE B° CENTRO AMÉRICA",140524302.0,Ferdinand de Lesseps 140,Centro América
184,,,4.0,45.0,CENMA N° 168,140245900.0,ROQUE SAENZ PEÑA 1211,COFICO
185,,,4.0,46.0,CENMA N° 168 SEDE EDUCACION A DISTANCIA,140245900.0,ROQUE SAENZ PEÑA 1211,COFICO
186,,,4.0,47.0,CENMA Nº 215 SEDE EDUCACIÓN A DISTANCIA,140270900.0,P. NERUDA ESQ. ACAMPES,Marcelo T. de Alvear
187,,,4.0,48.0,CENMA N° 135 SEDE SACRA B° PARQUE LICEO 2° SECC,140236404.0,JOAQUIN CASTELLANOS 4672,PARQUE LICEO II SECCION
234,,,5.0,47.0,ESCUELA NOCTURNA FRAY LUIS BELTRAN,140260100.0,Gelly y Obes 3110,VILLA AZALAIS
272,,,6.0,38.0,ESCUELA NOCTURNA PADRE JOSE LEON TORRES,140007500.0,Pedro de Ledesma 1755,PARQUE MONTECRISTO
273,,,6.0,39.0,ESCUELA NOCTURNA REPUBLICA DEL LIBANO EXT AUL B° GENERAL BELGRANO,140077001.0,FERNANDO ABRAMO 2545,GENERAL BELGRANO
274,,,6.0,40.0,CENMA PARQUE LICEO 2 SECCION ANEXO CIUDAD DE LOS CUARTETOS,140542803.0,CALLE PUBLICA S/N,CIUDAD DE LOS CUARTETOS
275,,,6.0,41.0,CENMA MANUEL DORREGO,140510700.0,CAPISTRANO TISSERA S/N,ALEM ESTE
276,,,6.0,42.0,CENMA N° 70 ANEXO MONSEÑOR ANGELELLI,140061801.0,AV. FEDERICO RAUCH 2790,ARTURO CAPDEVILA
277,,,6.0,43.0,CENMA ASIMRA ANEXO B° PATRICIOS,140235602.0,Av. Alem 2788,PATRICIOS
278,,,6.0,44.0,CENMA B° ACOSTA SEDE EVITA,140553301.0,SUIPACHA 2309,PUEYRREDON
279,,,6.0,45.0,CENMA N° 19,140074100.0,ANA MARIA JANER 1551,PUEYRREDON
