ESTABLECIMIENTOS SIN NUMERO EN COLUMNA C
Archivo fuente: C:\Users\Nazareno\Downloads\LISTADO ESTABLECIMIENTOS - 17 ZONAS  (1).xlsx
Hoja: ESTABLECIMIENTOS
Total encontrados: 130

Fila 39 | C='' | Zona 1.0 | N° 38.0 | ESCUELA NOCTURNA JOSE MANUEL ESTRADA | CUE 140074600.0 | Fermin Martín 7400 - Martín Fermín s/n | IPV ARGÜELLO NORTE
Fila 40 | C='' | Zona 1.0 | N° 39.0 | ESCUELA NOCTURNA DOMINGO FAUSTINO SARMIENTO | CUE 140131800.0 | Raimundo Caparros 7309 | ARGUELLO
Fila 41 | C='' | Zona 1.0 | N° 40.0 | CENMA PERIFERICOS DE ARGUELLO ANEXO B° IPV | CUE 140544801.0 | FERMIN MARTIN 7400 | IPV ARGÜELLO NORTE
Fila 42 | C='' | Zona 1.0 | N° 41.0 | ESCUELA NOCTURNA EULOGIA SALVATIERRA DE PALACIO | CUE 140135700.0 | Humberto Primo 2285 | ALBERDI
Fila 43 | C='' | Zona 1.0 | N° 42.0 | CENMA N° 135 | CUE 140236400.0 | SANTA ROSA 1299 | CENTRO
Fila 44 | C='' | Zona 1.0 | N° 43.0 | Intituto Tecnico Superior Cordoba | CUE 140544100.0 | Rio Negro 77 | Quintas de Santa Ana
Fila 81 | C='' | Zona 2.0 | N° 37.0 | J. DE INF. GOB BRIGADIER JUAN IGNACIO SAN MARTIN (Cerraron las salas - No existe) | CUE 140135900.0 | ENFERMERA CLERMONT Altura: 1225 | VILLA PAEZ
Fila 82 | C='' | Zona 2.0 | N° 38.0 | CENMA Nº 232 ANEXO Bº LOS BOULEVARES | CUE 140194205.0 | AV. LOS ALEMANES 4200 | LOS BOULEVARES
Fila 83 | C='' | Zona 2.0 | N° 39.0 | ESCUELA NOCTURNA MERCEDITAS DE SAN MARTIN | CUE 140293800.0 | AV. DE LOS ALEMANES 4200 | LOS BOULEVARES
Fila 84 | C='' | Zona 2.0 | N° 40.0 | CENMA N° 23 | CUE 140294900.0 | JULIAN PAZ 1851 | VILLA CABRERA
Fila 85 | C='' | Zona 2.0 | N° 41.0 | CENMA N° 23 ANEXO MARQUES DE SOBREMONTE | CUE 140294905.0 | FRANCISCO SUAREZ 3760 | MARQUEZ ANEXO
Fila 86 | C='' | Zona 2.0 | N° 42.0 | CENMA PERIFERICOS DE ARGUELLO ANEXO B° VILLA CORNU | CUE 140544802.0 | AV. CENTRAL DEL LOTEO Y ESQ. PUBLICA | 2022-11-16 00:00:00
Fila 87 | C='' | Zona 2.0 | N° 43.0 | ESCUELA NOCTURNA MALVINAS ARGENTINAS | CUE 140572100.0 | Av Central del Loteo esq Publica | 2022-11-16 00:00:00
