fila,zona,numero,establecimiento_id,establecimiento,reclamo,rubro,fecha,estado,tarea
4,7,Z7-001,305,ESC. NORMAL SUPERIOR DR. AGUSTIN GARZON AGULLA,,ALBAÑILERIA,2026-03-02,finalizado,"Poner en funcionamiento y evaluar equipos de aire acondicionado piso-techo del salón. Reparar fuga de gas, realizar prueba de presión, recargar refrigerante, limpiar y realizar service en equipo operativo. Verificar equipos con fallas y dejar constancia de necesidad de reemplazo o reparación. 
Reponer luces de emergencia vandalizadas, reacondicionar canalización existente y ordenar cableado. Colocar 4 ventiladores nuevos en aulas y area de gobierno designados con inspección, con canalización, cableado, punto y toma. Reparar los 6 ventiladores existentes en salón de actos."
5,7,Z7-002,305,ESC. NORMAL SUPERIOR DR. AGUSTIN GARZON AGULLA,,ELECTRICIDAD,2026-03-02,finalizado,"Reparar superficies deterioradas por filtraciones mediante trabajos de revoque en muros y cielorrasos. 
Aplicar pintura completa en el interior del salón de actos."
6,7,Z7-003,305,ESC. NORMAL SUPERIOR DR. AGUSTIN GARZON AGULLA,,ALBAÑILERIA,2026-03-02,finalizado,"Realizar pintura en pasillos de planta baja, primer y segundo piso, en muros y cielorrasos, con reparaciones puntuales de revoques. En muros, aplicar pintura sintética color marfil desde nivel de piso hasta 2,00 m de altura y, desde ese nivel hasta cielorraso, aplicar pintura látex color blanco. En cielorrasos, aplicar pintura látex color blanco. Colocar pizarrones existentes en distintos sectores del establecimiento."
7,7,Z7-004,305,ESC. NORMAL SUPERIOR DR. AGUSTIN GARZON AGULLA,,ELECTRICIDAD,2026-03-02,finalizado,"Reordenar instalación eléctrica y de datos en hall de ingreso, retirando tendidos fuera de uso y ejecutando nueva canalización y cableado para timbre, luz de emergencia y tomacorrientes. Reubicar ventilador existente. Reponer luminarias y mejorar iluminación en pasillos y halls. Reacondicionar tomacorrientes y colocar tapas ciegas en bocas fuera de uso."
8,7,Z7-005,305,ESC. NORMAL SUPERIOR DR. AGUSTIN GARZON AGULLA,,ALBAÑILERIA,2026-03-02,finalizado,Extraer y retirar tocón de árbol en vereda de ingreso.
9,7,Z7-006,314,J.DE INF. EDITH VERA (Bº ZEPA),,PLOMERIA,2026-03-03,finalizado,Limpieza y desobstrucción de pileta de piso en baño de alumnos.
10,7,Z7-007,314,J.DE INF. EDITH VERA (Bº ZEPA),2026010569,GAS,2026-03-03,finalizado,Reclamo por olor a gas en comedor. Revisar los artefactos de cocina por si presentan perdidas y realizar los ajustes necesarios.
11,7,Z7-008,314,J.DE INF. EDITH VERA (Bº ZEPA),2026010568,ELECTRICIDAD,2026-03-03,finalizado,Instalar 2 ventiladores de pared con sus respectivos tomas y llaves. Confirmar ubicación con directora (1 en SUM y 1 en hall de acceso ó ambos en hall de acceso)
12,7,Z7-009,315,ESCUELA JUANA AZURDUY B° (ZEPA A Y B),,PLOMERIA,2026-03-03,finalizado,Colocar tapón en caño de canilla de servicio exterior que presenta perdidas de agua.
13,7,Z7-010,315,ESCUELA JUANA AZURDUY B° (ZEPA A Y B),,ELECTRICIDAD,2026-03-03,finalizado,"Poner en funcionamiento el sistema de iluminación exterior y timbre del establecimiento.
- Reponer 4 luminarias ubicadas en el ingreso y las luminarias correspondientes a las torres de iluminación del patio.
- Reponer el timbre de ingreso a la escuela por uno nuevo."
14,7,Z7-011,315,ESCUELA JUANA AZURDUY B° (ZEPA A Y B),,PLOMERIA,2026-03-03,finalizado,"El establecimiento presenta funcionamiento normal del servicio de agua. Revisar pérdidas en cañería de alimentación de cisterna y en cañería de canilla de servicio de ingreso, y reponer cañerías y elementos afectados."
15,7,Z7-012,291,ESCUELA CANONIGO MANUEL AVELINO PIÑERO,2026010507,PLOMERIA,2026-03-03,finalizado,El establecimiento presenta funcionamiento normal del servicio de agua. Revisar bomba y tableros de bomba que se encuentra fuera de funcionamiento y tanques de agua rebalsados.
33,9,Z9-001,375,Escuela Victor Mercante,,HERRERIA,2026-03-02,finalizado,Se solicita completar el cerramiento en la parte de techo para mejorar la seguridad debido a que intentaron entrar a robar y las rompieron.
34,9,Z9-002,380,Escuela Jose Maria Bedoya,,ELECTRICIDAD,2026-03-03,finalizado,Colocar nuevo artefacto en sala de video y corroborar funcionamiento de electricidad.
35,9,Z9-003,382,IPEM 136 Alfredo Palacios,,PLOMERIA,2026-03-03,finalizado,Se solicita un oficial y un ayudante en plomería para desobstruir  inodoro y mingitorios que se encuentran tapados y cambiar descarga de bachas en baño de varones.
36,9,Z9-004,397,J.DE INF. TTE. GRAL. PABLO RICCHIERI,,PLOMERIA,2026-03-03,finalizado,"Se solicita la presencia de un oficial y un ayudante en plomería para llevar a cabo la reparación de la mochila del inodoro en el baño de la sala. Asimismo, se deberá proceder a la colocación de una llave de paso y al reemplazo de los flexibles de los inodoros."
37,9,Z9-005,399,Escuela Teniente General Palbo Ricchieri,,PLOMERÍA,2026-03-04,finalizado,Cambiar dos canillas pertenecientes a baños de varones.Desobstrucción de inodoro de baño varones.
38,9,Z9-006,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,OTROS,2026-03-06,finalizado,Se solicita un oficial y ayudante especializado para la recarga de 7 aires acondicionados.
